episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
267,920.0,760,156437,0.2,0.1080470770205322,1420.676257591,True,False
268,670.0,582,157019,0.2,0.1008504371512039,1427.927980747,True,False
269,790.0,589,157608,0.2,0.11575425974395429,1434.685775225,True,False
270,620.0,526,158134,0.2,0.12186954056716147,1439.49803248,True,False
271,1230.0,663,158797,0.2,0.11569697654480676,1445.262881282,True,False
272,570.0,576,159373,0.2,0.09232471008241798,1450.2398842,True,False
273,370.0,445,159818,0.2,0.10389523380142343,1454.936991326,True,False
274,560.0,626,160444,0.2,0.13386682988067342,1460.386654743,True,False
275,410.0,441,160885,0.2,0.1122520278969949,1463.895653438,True,False
276,930.0,692,161577,0.2,0.12463167828717672,1469.868262863,True,False
277,200.0,330,161907,0.2,0.16223165688173072,1472.424823227,True,False
278,300.0,380,162287,0.2,0.1088783455130301,1475.340819633,True,False
279,470.0,455,162742,0.2,0.12064146135296476,1478.7230758819999,True,False
280,1340.0,661,163403,0.2,0.12507994296875866,1483.517457186,True,False
281,510.0,528,163931,0.2,0.15390320967487764,1487.770935779,True,False
282,440.0,531,164462,0.2,0.1305275003012634,1491.8874870939999,True,False
283,530.0,676,165138,0.2,0.13979252962913563,1497.78491068,True,False
284,240.0,367,165505,0.2,0.12733313016107548,1500.718489943,True,False
285,650.0,533,166038,0.2,0.11654820256775483,1504.634202711,True,False
286,260.0,362,166400,0.2,0.14022768071883326,1507.473955875,True,False
287,670.0,596,166996,0.2,0.1594135818952982,1512.243967951,True,False
288,840.0,596,167592,0.2,0.1412314408827548,1517.793349438,True,False
289,340.0,448,168040,0.2,0.09620546017374311,1521.237492335,True,False
290,240.0,389,168429,0.2,0.1332195031447048,1525.332633216,True,False
291,560.0,491,168920,0.2,0.13338480530897293,1529.97421529,True,False
292,1000.0,703,169623,0.2,0.14989419661462308,1535.989983595,True,False
293,2190.0,617,170240,0.2,0.11249841218513827,1540.661487962,True,False
294,440.0,365,170605,0.2,0.13816373201680707,1543.763754816,True,False
295,430.0,464,171069,0.2,0.12632715027650882,1547.731938185,True,False
296,520.0,500,171569,0.2,0.15137346047163008,1551.6169365,True,False
297,290.0,387,171956,0.2,0.13405188325715742,1554.623926994,True,False
298,350.0,458,172414,0.2,0.1489153539173697,1558.448792951,True,False
299,750.0,627,173041,0.2,0.16577738672969447,1563.349462774,True,False
300,610.0,559,173600,0.2,0.12485694156161377,1567.8252321969999,True,False
